States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)",,
Madhya Pradesh,Rabi,Pea,2005-2006,229.2,111.9,488,,
Maharashtra,Rabi,Pea,2005-2006,19.7,8.7,442,,
Manipur*,Rabi,Pea,2005-2006,5.5,2.9,527,,
Punjab,Rabi,Pea,2005-2006,3.6,4,1111,,
Rajasthan,Rabi,Pea,2005-2006,13.4,31.7,2366,,
Tripura,Rabi,Pea,2005-2006,1.1,0.8,727,,
Uttar Pradesh,Rabi,Pea,2005-2006,413,483.3,1170,,
Uttarakhand,Rabi,Pea,2005-2006,5.5,4.8,873,,
West Bengal,Rabi,Pea,2005-2006,13.1,11.5,878,,
India,Rabi,Pea,2005-2006,782.9,720.4,920,,
Assam,Rabi,Pea,2006-2007,19,12,632,,
Bihar,Rabi,Pea,2006-2007,23.7,22,928,,
Chhattisgarh,Rabi,Pea,2006-2007,16.6,5.9,355,,
Haryana,Rabi,Pea,2006-2007,1.8,1.8,1000,,
Himachal Pradesh,Rabi,Pea,2006-2007,8.2,16.9,2061,,
Jammu & Kashmir,Rabi,Pea,2006-2007,1.5,1.6,1067,,
Jharkhand,Rabi,Pea,2006-2007,9.2,8.3,902,,
Kerala*,Rabi,Pea,2006-2007,2.8,2.2,785,,
Madhya Pradesh,Rabi,Pea,2006-2007,198.7,89.7,451,,
Maharashtra,Rabi,Pea,2006-2007,20.3,9,443,,
Manipur*,Rabi,Pea,2006-2007,5.5,5.1,927,,
Punjab,Rabi,Pea,2006-2007,3.1,3.6,1161,,
Rajasthan,Rabi,Pea,2006-2007,11.4,23.9,2096,,
Tripura,Rabi,Pea,2006-2007,0.8,0.6,750,,
Uttar Pradesh,Rabi,Pea,2006-2007,420,406,967,,
Uttarakhand,Rabi,Pea,2006-2007,4,3,750,,
West Bengal,Rabi,Pea,2006-2007,12.5,8.4,672,,
India,Rabi,Pea,2006-2007,759.1,620,817,,
Assam,Rabi,Pea,2007-2008,23,14,609,,
Bihar,Rabi,Pea,2007-2008,23.4,22.8,974,,
Chhattisgarh,Rabi,Pea,2007-2008,16.8,6,357,,
Haryana,Rabi,Pea,2007-2008,1.9,1.6,842,,
Himachal Pradesh,Rabi,Pea,2007-2008,9.9,22.1,2232,,
Jammu & Kashmir,Rabi,Pea,2007-2008,2,1.5,750,,
Jharkhand,Rabi,Pea,2007-2008,10.5,9.3,886,,
Kerala*,Rabi,Pea,2007-2008,2.8,2.1,750,,
Madhya Pradesh,Rabi,Pea,2007-2008,166.5,66.5,399,,
Maharashtra,Rabi,Pea,2007-2008,20,11,550,,
Manipur*,Rabi,Pea,2007-2008,11.1,5.5,495,,
Punjab,Rabi,Pea,2007-2008,3.4,4.2,1235,,
Rajasthan,Rabi,Pea,2007-2008,4.1,5.3,1293,,
Tripura,Rabi,Pea,2007-2008,0.6,0.5,833,,
Uttar Pradesh,Rabi,Pea,2007-2008,320,300,938,,
Uttarakhand,Rabi,Pea,2007-2008,4.7,4.7,1000,,
West Bengal,Rabi,Pea,2007-2008,9.9,7.2,727,,
India,Rabi,Pea,2007-2008,630.6,484.3,768,,
Assam,Rabi,Pea,2008-2009,20.9,13,622,,
Bihar,Rabi,Pea,2008-2009,23.8,22.9,962,,
Chhattisgarh,Rabi,Pea,2008-2009,15,5.6,373,,
Haryana,Rabi,Pea,2008-2009,0.6,0.8,1333,,
Himachal Pradesh,Rabi,Pea,2008-2009,8.4,11.5,1369,,
Jammu & Kashmir,Rabi,Pea,2008-2009,1.5,1.3,867,,
Jharkhand,Rabi,Pea,2008-2009,25.8,34.9,1353,,
Kerala*,Rabi,Pea,2008-2009,2.2,1.7,772,,
Madhya Pradesh,Rabi,Pea,2008-2009,222.9,111,498,,
Maharashtra,Rabi,Pea,2008-2009,15,8,533,,
Manipur*,Rabi,Pea,2008-2009,11,5.5,500,,
Punjab,Rabi,Pea,2008-2009,2,2.4,1200,,
Rajasthan,Rabi,Pea,2008-2009,3.7,5.8,1568,,
Tripura,Rabi,Pea,2008-2009,0.5,0.5,967,,
Uttar Pradesh,Rabi,Pea,2008-2009,351,424,1208,,
Uttarakhand,Rabi,Pea,2008-2009,6,3,500,,
West Bengal,Rabi,Pea,2008-2009,8.8,6.7,761,,
India,Rabi,Pea,2008-2009,719.1,658.6,916,,
Assam,Rabi,Pea,2009-2010,20.9,12.8,615,,
Bihar,Rabi,Pea,2009-2010,22.2,22.4,1009,,
Chhattisgarh,Rabi,Pea,2009-2010,17.2,5.9,343,,
Haryana,Rabi,Pea,2009-2010,1,1,1000,,
Himachal Pradesh,Rabi,Pea,2009-2010,8.3,12.3,1473,,
Jammu & Kashmir,Rabi,Pea,2009-2010,1.1,1,916,,
Jharkhand,Rabi,Pea,2009-2010,42.7,34.5,807,,
Kerala*,Rabi,Pea,2009-2010,2.3,1.7,739,,
Madhya Pradesh,Rabi,Pea,2009-2010,288.7,146.7,508,,
Maharashtra,Rabi,Pea,2009-2010,16.5,8.6,519,,
Manipur*,Rabi,Pea,2009-2010,11.1,5.8,523,,
Punjab,Rabi,Pea,2009-2010,1.6,1.8,1125,,
Rajasthan,Rabi,Pea,2009-2010,2.8,4.9,1775,,
Tripura,Rabi,Pea,2009-2010,0.6,0.5,863,,
Uttar Pradesh,Rabi,Pea,2009-2010,312,400.4,1283,,
Uttarakhand,Rabi,Pea,2009-2010,6,3,500,,
West Bengal,Rabi,Pea,2009-2010,9.4,11.8,1257,,
India,Rabi,Pea,2009-2010,764.4,675,883,,
Assam,Rabi,Pea,2010-2011,22.4,13.8,614,,
Bihar,Rabi,Pea,2010-2011,20,21,1051,,
Chhattisgarh,Rabi,Pea,2010-2011,14.8,5,338,,
Haryana,Rabi,Pea,2010-2011,2.1,1.9,905,,
Himachal Pradesh,Rabi,Pea,2010-2011,12.9,27.8,2160,,
Jammu & Kashmir,Rabi,Pea,2010-2011,0.3,0.1,557,,
Jharkhand,Rabi,Pea,2010-2011,36.2,34.2,946,,
Kerala*,Rabi,Pea,2010-2011,1.2,0,0,,
Madhya Pradesh,Rabi,Pea,2010-2011,226.5,62.5,276,,
Maharashtra,Rabi,Pea,2010-2011,33,17,515,,
Manipur*,Rabi,Pea,2010-2011,16.7,16,956,,
Punjab,Rabi,Pea,2010-2011,3.2,4.1,1281,,
Rajasthan,Rabi,Pea,2010-2011,11.3,11.6,1029,,
Tripura,Rabi,Pea,2010-2011,0.6,0.5,859,,
Uttar Pradesh,Rabi,Pea,2010-2011,304,353,1161,,
Uttarakhand,Rabi,Pea,2010-2011,10.5,11,1046,,
West Bengal,Rabi,Pea,2010-2011,11.6,13.6,1170,,
India,Rabi,Pea,2010-2011,727.3,593.2,816,,
Assam,Rabi,Pea,2011-2012,21.8,13.3,608,,
Bihar,Rabi,Pea,2011-2012,18.7,19.2,1031,,
Chhattisgarh,Rabi,Pea,2011-2012,15.5,5.4,348,,
Haryana,Rabi,Pea,2011-2012,1,2,2000,,
Himachal Pradesh,Rabi,Pea,2011-2012,9.9,17.3,1759,,
Jammu & Kashmir,Rabi,Pea,2011-2012,0.2,0.1,586,,
Jharkhand,Rabi,Pea,2011-2012,39,44.3,1135,,
Kerala*,Rabi,Pea,2011-2012,1.6,0,0,,
Madhya Pradesh,Rabi,Pea,2011-2012,263.9,94.2,357,,
Maharashtra,Rabi,Pea,2011-2012,25.8,11.8,457,,
Manipur*,Rabi,Pea,2011-2012,2.9,14.6,5037,,
Punjab,Rabi,Pea,2011-2012,3,3,1000,,
Rajasthan,Rabi,Pea,2011-2012,2.7,4.7,1777,,
Uttar Pradesh,Rabi,Pea,2011-2012,323,463,1433,,
Uttarakhand,Rabi,Pea,2011-2012,3,3,1000,,
West Bengal,Rabi,Pea,2011-2012,12.1,10,828,,
India,Rabi,Pea,2011-2012,744,705.9,949,,
Assam,Rabi,Pea,2012-2013,31,19.8,640,,
Bihar,Rabi,Pea,2012-2013,18.5,19.3,1041,,
Chhattisgarh,Rabi,Pea,2012-2013,14.7,5.5,374,,
Himachal Pradesh,Rabi,Pea,2012-2013,10.8,29.9,2773,,
Jammu & Kashmir,Rabi,Pea,2012-2013,0.2,0.1,613,,
Jharkhand,Rabi,Pea,2012-2013,30.3,54.9,1811,,
Kerala*,Rabi,Pea,2012-2013,1.8,1.4,750,,
Madhya Pradesh,Rabi,Pea,2012-2013,280.9,194.8,693,,
Maharashtra,Rabi,Pea,2012-2013,29.3,12.1,412,,
Manipur*,Rabi,Pea,2012-2013,18.1,17,942,,
Punjab,Rabi,Pea,2012-2013,1.7,2.2,1294,,
Rajasthan,Rabi,Pea,2012-2013,2.7,5.9,2162,,
Tripura,Rabi,Pea,2012-2013,1,0.8,760,,
Uttar Pradesh,Rabi,Pea,2012-2013,307,459,1495,,
Uttarakhand,Rabi,Pea,2012-2013,4.9,4.4,896,,
West Bengal,Rabi,Pea,2012-2013,12.4,14,1128,,
India,Rabi,Pea,2012-2013,765.1,840.8,1099,,
Assam,Rabi,Pea,2013-2014,31.3,26.5,848,,
Bihar,Rabi,Pea,2013-2014,17.3,18.4,1060,,
Chhattisgarh,Rabi,Pea,2013-2014,14.5,5.3,366,,
Himachal Pradesh,Rabi,Pea,2013-2014,11.9,41,3450,,
Jammu & Kashmir,Rabi,Pea,2013-2014,2.1,1.7,849,,
Jharkhand,Rabi,Pea,2013-2014,31.7,37.6,1186,,
Kerala*,Rabi,Pea,2013-2014,1.5,2.9,1921,,
Madhya Pradesh,Rabi,Pea,2013-2014,307.1,295.1,961,,
Manipur*,Rabi,Pea,2013-2014,20,16.3,906,,
Odisha,Rabi,Pea,2013-2014,135.3,80.4,594,,
Punjab,Rabi,Pea,2013-2014,0.8,1.3,1625,,
Rajasthan,Rabi,Pea,2013-2014,13.6,22.8,1682,,
Tripura,Rabi,Pea,2013-2014,1,0.9,874,,
Uttar Pradesh,Rabi,Pea,2013-2014,357,354,992,,
Uttarakhand,Rabi,Pea,2013-2014,5.5,5.4,982,,
West Bengal,Rabi,Pea,2013-2014,12.7,15,1186,,
India,Rabi,Pea,2013-2014,963.2,922.9,960,,
Assam,Rabi,Pea,2014-2015,30,27.7,924,,
Bihar,Rabi,Pea,2014-2015,22.1,18.2,824,,
Chhattisgarh,Rabi,Pea,2014-2015,17,10.3,602,,
Himachal Pradesh,Rabi,Pea,2014-2015,11.5,27.4,2376,,
Jammu & Kashmir,Rabi,Pea,2014-2015,2.2,1.9,859,,
Jharkhand,Rabi,Pea,2014-2015,33.3,40.4,1212,,
Kerala*,Rabi,Pea,2014-2015,0.3,2,7692,,
Madhya Pradesh,Rabi,Pea,2014-2015,355.5,362.9,1021,,
Maharashtra,Rabi,Pea,2014-2015,26.3,9.6,366,,
Manipur*,Rabi,Pea,2014-2015,20,17.2,948,,
Punjab,Rabi,Pea,2014-2015,2.2,2.6,1182,,
Rajasthan,Rabi,Pea,2014-2015,17,30.9,1817,,
Tripura,Rabi,Pea,2014-2015,2,1.8,882,,
Uttar Pradesh,Rabi,Pea,2014-2015,416,314,755,,
Uttarakhand,Rabi,Pea,2014-2015,7.8,7.6,968,,
West Bengal,Rabi,Pea,2014-2015,14.1,16.8,1189,,
India,Rabi,Pea,2014-2015,977.3,889.3,912,,
Assam,Rabi,Pea,2015-2016,15.65,14.1,901,,
Bihar,Rabi,Pea,2015-2016,17.04,17.94,1053,,
Chhattisgarh,Rabi,Pea,2015-2016,15.5,5.9,381,,
Haryana,Rabi,Pea,2015-2016,1.4,1.5,1071,,
Himachal Pradesh,Rabi,Pea,2015-2016,11.97,30.6,2557,,
Kerala,Rabi,Pea,2015-2016,0.26,0.48,1848,,
Madhya Pradesh,Rabi,Pea,2015-2016,450,267.33,594,,
Manipur,Rabi,Pea,2015-2016,18.29,17.19,940,,
Punjab,Rabi,Pea,2015-2016,4.4,5.7,1295,,
Rajasthan,Rabi,Pea,2015-2016,19.52,39,1998,,
Uttar Pradesh,Rabi,Pea,2015-2016,286,285,997,,
Uttarakhand,Rabi,Pea,2015-2016,6.83,6.74,987,,
West Bengal,Rabi,Pea,2015-2016,15.03,18.34,1221,,
India,Rabi,Pea,2015-2016,903.48,741.67,821,,
Assam,Rabi,Pea,2016-2017,28.68,26.01,907,,
Bihar,Rabi,Pea,2016-2017,16.4,16.74,1020,,
Chhattisgarh,Rabi,Pea,2016-2017,18.5,7.4,400,,
Himachal Pradesh,Rabi,Pea,2016-2017,13.28,49.63,3737,,
Jammu & Kashmir,Rabi,Pea,2016-2017,1.58,1.19,750,,
Madhya Pradesh,Rabi,Pea,2016-2017,465.27,356.83,767,,
Manipur,Rabi,Pea,2016-2017,18.32,17.38,949,,
Odisha,Rabi,Pea,2016-2017,33.91,25.09,740,,
Punjab,Rabi,Pea,2016-2017,3.1,4.2,1355,,
Tripura,Rabi,Pea,2016-2017,3.2,2.82,880,,
Uttar Pradesh,Rabi,Pea,2016-2017,384,418.12,1089,,
Uttarakhand,Rabi,Pea,2016-2017,6,6,1000,,
West Bengal,Rabi,Pea,2016-2017,13.68,15.34,1121,,
India,Rabi,Pea,2016-2017,1058.88,1011.19,955,,
Assam,Rabi,Pea,2017-2018,30.97,28.87,932,,
Bihar,Rabi,Pea,2017-2018,16.44,16.94,1031,,
Chhattisgarh,Rabi,Pea,2017-2018,14.22,5.38,378,,
Haryana,Rabi,Pea,2017-2018,2.5,2.5,1000,,
Himachal Pradesh,Rabi,Pea,2017-2018,2.35,4.85,2062,,
Jammu & Kashmir,Rabi,Pea,2017-2018,1.68,1.29,766,,
Madhya Pradesh,Rabi,Pea,2017-2018,312,322,1032,,
Manipur,Rabi,Pea,2017-2018,18.34,17.19,937,,
Odisha,Rabi,Pea,2017-2018,30.77,23.63,768,,
Punjab,Rabi,Pea,2017-2018,2,1.9,950,,
Rajasthan,Rabi,Pea,2017-2018,14.32,36.58,2555,,
Tripura,Rabi,Pea,2017-2018,3.47,3.06,880,,
Uttar Pradesh,Rabi,Pea,2017-2018,294,432,1469,,
Uttarakhand,Rabi,Pea,2017-2018,5,5,1000,,
West Bengal,Rabi,Pea,2017-2018,18,21,1167,,
India,Rabi,Pea,2017-2018,825.21,993.25,1204,,
Assam,Rabi,Pea,2018-2019,29.86,27.97,937,,
Bihar,Rabi,Pea,2018-2019,16.55,17.15,1036,,
Chhattisgarh,Rabi,Pea,2018-2019,11.54,4.43,384,,
Haryana,Rabi,Pea,2018-2019,3.3,3.6,1091,,
Himachal Pradesh,Rabi,Pea,2018-2019,2.55,5.25,2060,,
Jammu & Kashmir,Rabi,Pea,2018-2019,1.71,1.35,787,,
Kerala,Rabi,Pea,2018-2019,1.4,1.28,914,,
Madhya Pradesh,Rabi,Pea,2018-2019,65,50,769,,
Manipur,Rabi,Pea,2018-2019,18.34,17.19,937,,
Odisha,Rabi,Pea,2018-2019,31.6,24.27,768,,
Punjab,Rabi,Pea,2018-2019,3.4,4.4,1294,,
Rajasthan,Rabi,Pea,2018-2019,13.37,25.84,1933,,
Tripura,Rabi,Pea,2018-2019,3.39,2.85,840,,
Uttar Pradesh,Rabi,Pea,2018-2019,333,539,1619,,
Uttarakhand,Rabi,Pea,2018-2019,5,5,1000,,
West Bengal,Rabi,Pea,2018-2019,17.1,20.05,1173,,
India,Rabi,Pea,2018-2019,606.72,811.81,1338,,
Assam,Rabi,Pea,2019-2020,27.89,26.08,935,,
Bihar,Rabi,Pea,2019-2020,17.38,18.06,1039,,
Chhattisgarh,Rabi,Pea,2019-2020,12.41,4.8,387,,
Haryana,Rabi,Pea,2019-2020,2.4,2.4,1000,,
Himachal Pradesh,Rabi,Pea,2019-2020,11.65,41.48,3562,,
Jammu & Kashmir,Rabi,Pea,2019-2020,0.72,0.58,810,,
Jharkhand,Rabi,Pea,2019-2020,59.14,74.7,1263,,
Kerala,Rabi,Pea,2019-2020,1.26,1.13,900,,
Madhya Pradesh,Rabi,Pea,2019-2020,58,48,828,,
Manipur,Rabi,Pea,2019-2020,15.95,14.69,921,,
Punjab,Rabi,Pea,2019-2020,1.8,1.6,889,,
Rajasthan,Rabi,Pea,2019-2020,13.59,32.02,2356,,
Tripura,Rabi,Pea,2019-2020,3.2,2.83,884,,
Uttar Pradesh,Rabi,Pea,2019-2020,344,565.8,1645,,
Uttarakhand,Rabi,Pea,2019-2020,8,7,875,,
West Bengal,Rabi,Pea,2019-2020,20.04,19.03,950,,
India,Rabi,Pea,2019-2020,597.3,860.2,1440,,
Assam,Rabi,Pea,2020-2021,27.98,25.77,921,,
Bihar,Rabi,Pea,2020-2021,18.64,19.43,1042,,
Chhattisgarh,Rabi,Pea,2020-2021,10.78,4.67,798,,
Haryana,Rabi,Pea,2020-2021,2.72,3.13,1151,,
Himachal Pradesh,Rabi,Pea,2020-2021,14.67,38.02,2592,,
Jammu & Kashmir,Rabi,Pea,2020-2021,0.77,0.63,814,,
Jharkhand,Rabi,Pea,2020-2021,60.07,70.19,1168,,
Kerala,Rabi,Pea,2020-2021,1.18,1.07,909,,
Madhya Pradesh,Rabi,Pea,2020-2021,86,90,1047,,
Manipur,Rabi,Pea,2020-2021,18.2,16.86,926,,
Punjab,Rabi,Pea,2020-2021,1.5,1.4,933,,
Rajasthan,Rabi,Pea,2020-2021,5.85,14.24,2434,,
Tripura,Rabi,Pea,2020-2021,3.1,2.71,874,,
Uttar Pradesh,Rabi,Pea,2020-2021,361,562,1557,,
Uttarakhand,Rabi,Pea,2020-2021,7,6.16,880,,
West Bengal,Rabi,Pea,2020-2021,18.21,20.31,1115,,
India,Rabi,Pea,2020-2021,637.57,876.54,1375,,
